SEQ,BRCODE,BRACRO,REGION,BRNAME,NEWBRSTN,OLDBRSTN,AREA,OLDNAME,ORDERING
1744,1253,ANN,NMM-6,SAN JUAN-ANNAPOLIS,01008-195-4,01008-195-4,NMMR,SAN JUAN-ANNAPOLIS,7
1745,1254,ERS,NMM-6,QC-E RODRIGUEZ SR. AVE to 1207,01008-153-0,01008-153-0,NMMR,QC-E RODRIGUEZ SR. AVE to 1207,7
1746,1255,GTA,NMM-6,Q.C.-UERMMMC,01008-162-4,01008-162-4,NMMR,Q.C.-UERMMMC,7
1747,1256,GLM,NMM-6,SAN JUAN-JOSE ABAD SANTOS,01008-084-5,01008-084-5,NMMR,SAN JUAN-JOSE ABAD SANTOS,7
1748,1257,GRA,NMM-6,Q.C.-GRANADA,01008-191-2,01008-191-2,NMMR,Q.C.-GRANADA,7
1749,1258,GRH,NMM-6,GREENHILLS-CLUB FILIPINO DRIVE,01008-041-8,01008-041-8,NMMR,GREENHILLS-CLUB FILIPINO DRIVE,7
1750,1259,GRN,NMM-6,GREENHILLS-ORTIGAS AVE.,01008-139-4,01008-139-4,NMMR,GREENHILLS-ORTIGAS AVE.,7
1751,1260,KMG,NMM-6,Q.C.-KAMUNING,01008-184-4,01008-184-4,NMMR,Q.C.-KAMUNING,7
1752,1261,NML,NMM-6,Q.C.-NEW MANILA,01008-142-0,01008-142-0,NMMR,Q.C.-NEW MANILA,7
1753,1262,SJU,NMM-6,SAN JUAN-F. BLUMENTRITT,01008-094-2,01008-094-2,NMMR,SAN JUAN-F. BLUMENTRITT,7
1754,1263,TMO,NMM-6,Q.C.-TIMOG,01008-082-9,01008-082-9,NMMR,Q.C.-TIMOG,7
1755,1276,ALI,NMM-3,Q.C.-ARANETA CENTER,01008-071-9,01008-071-9,NMMR,Q.C.-ARANETA CENTER,4
1756,1277,AKA,NMM-3,Q.C.-KATIPUNAN-AURORA BLVD.,01008-238-0,01008-238-0,NMMR,Q.C.-KATIPUNAN-AURORA BLVD.,4
1757,1278,QBO,NMM-3,Q.C.-CUBAO MAIN,01008-005-2,01008-005-2,NMMR,Q.C.-CUBAO MAIN,4
1758,1279,CBO,NMM-3,Q.C.-CUBAO-HARVARD,01008-123-9,01008-123-9,NMMR,Q.C.-CUBAO-HARVARD,4
1759,1280,KAM,NMM-2,Q.C.-TIMOG EDSA,01008-169-5,01008-169-5,NMMR,Q.C.-TIMOG EDSA,3
1760,1281,KTP,NMM-3,Q.C.-KATIPUNAN-LOYOLA HEIGHTS,01008-108-0,01008-108-0,NMMR,Q.C.-KATIPUNAN-LOYOLA HEIGHTS,4
1761,1282,MRK,NMM-7,MARIKINA-SHOE AVE.,01008-016-2,01008-016-2,NMMR,MARIKINA-SHOE AVE.,8
1762,1283,CCM,NMM-7,MARIKINA-CONCEPCION,01008-155-6,01008-155-6,NMMR,MARIKINA-CONCEPCION,8
1763,1284,SEM,NMM-7,MARIKINA-CALUMPANG,01008-230-6,01008-230-6,NMMR,MARIKINA-CALUMPANG,8
1764,1285,MTU,NMM-7,MARIKINA-A. TUAZON,01008-128-4,01008-128-4,NMMR,MARIKINA-A. TUAZON,8
1765,1286,PTU,NMM-3,Q.C.-P. TUAZON,01008-167-9,01008-167-9,NMMR,Q.C.-P. TUAZON,4
1766,1287,PRG,NMM-3,CAINTA-ORTIGAS AVE. EXT to 1305,01008-250-0,01008-250-0,NMMR,CAINTA-ORTIGAS AVE. EXT to 1305,4
1767,1288,PRA,NMM-1,QC-PROJECT 3 AURORA BLVD to 1277,01008-204-7,01008-204-7,NMMR,QC-PROJECT 3 AURORA BLVD to 1277,2
1769,1301,ANG,NMM-7,RIZAL-ANGONO,01008-210-2,01008-210-2,NMMR,RIZAL-ANGONO,8
1770,1302,ATP,NMM-7,ANTIPOLO-P. OLIVEROS,01008-089-0,01008-089-0,NMMR,ANTIPOLO-P. OLIVEROS,8
1771,1303,APL,NMM-7,ANTIPOLO-CIRCUMFERENTIAL,01008-154-3,01008-154-3,NMMR,ANTIPOLO-CIRCUMFERENTIAL,8
1772,1304,CNT,NMM-7,CAINTA-VILLAGE EAST,01008-255-5,01008-255-5,NMMR,CAINTA-VILLAGE EAST,8
1773,1305,CNA,NMM-7,CAINTA-SAN ISIDRO,01008-260-7,01008-260-7,NMMR,CAINTA-SAN ISIDRO,8
1774,1306,FLX,NMM-7,CAINTA-FELIX AVE.-SAN ISIDRO,01008-060-9,01008-060-9,NMMR,CAINTA-FELIX AVE.-SAN ISIDRO,8
1775,1307,MAG,NMM-5,ANTIPOLO-MASINAG to 1308,01008-118-7,01008-118-7,NMMR,ANTIPOLO-MASINAG to 1308,6
1776,1308,MNG,NMM-7,ANTIPOLO-SUMULONG-MASINAG,01008-207-6,01008-207-6,NMMR,ANTIPOLO-SUMULONG-MASINAG,8
1777,1309,PSG,NMM-7,PASIG-ORTIGAS EXT.,01008-132-3,01008-132-3,NMMR,PASIG-ORTIGAS EXT.,8
