SEQ,BRCODE,BRACRO,REGION,BRNAME,NEWBRSTN,OLDBRSTN,AREA,OLDNAME,ORDERING
1968,2061,SBC,NOL 6,OLONGAPO CITY-SUBIC BAY,28008-003-1,28008-003-1,NOL,OLONGAPO CITY-SUBIC BAY,28
1970,2077,CLG,NOL 7,PANGASINAN-BAYAMBANG,05008-013-5,05008-013-5,NOL,PANGASINAN-BAYAMBANG,29
1971,2078,CML,NOL 8,TARLAC-CAMILING,22008-006-2,22008-006-2,NOL,TARLAC-CAMILING,30
1833,1462,PMN,SMM-8,LAS PIÑAS-PAMPLONA,01008-216-0,01008-216-0,SMMR,LAS PIÑAS-PAMPLONA,22
1834,1463,SMA,SMM-8,LAS PIÑAS – EVIA LIFESTYLE CENTER,01008-259-7,01008-259-7,SMMR,LAS PIÑAS – EVIA LIFESTYLE CENTER,22
1838,1477,BFH,SMM-7,PARAÑAQUE-BF HOMES-PRES. AVE.,01008-201-8,01008-201-8,SMMR,PARAÑAQUE-BF HOMES-PRES. AVE.,21
1840,1479,BAC,SMM-5,PARANAQUE-BF HOMES-PHASE 3 to 1478,01008-161-1,01008-161-1,SMMR,PARANAQUE-BF HOMES-PHASE 3 to 1478,19
1843,1482,FTI,SMM-7,TAGUIG-FTI COMPLEX,01008-010-4,01008-010-4,SMMR,TAGUIG-FTI COMPLEX,21
1845,1484,NNY,SMM-5,NAIA 1-ARRIVAL AREA to 1483,01008-048-9,01008-048-9,SMMR,NAIA 1-ARRIVAL AREA to 1483,19
1849,1488,PTO,VISAYAS 1,PALAWAN-PUERTO PRINCESA-VALENCIA,35008-001-3,35008-001-3,VISAYAS,PALAWAN-PUERTO PRINCESA-VALENCIA,38
1851,1490,SCT,SMM-7,PARAÑAQUE-SUCAT-A. SANTOS,01008-081-6,01008-081-6,SMMR,PARAÑAQUE-SUCAT-A. SANTOS,21
1852,1491,SUT,SMM-7,PARAÑAQUE-SUCAT-EVACOM,01008-173-4,01008-173-4,SMMR,PARAÑAQUE-SUCAT-EVACOM,21
1853,1492,UPQ,SMM-7,PARAÑAQUE-EAST SERVICE ROAD,01008-160-8,01008-160-8,SMMR,PARAÑAQUE-EAST SERVICE ROAD,21
1855,1501,BKL,SMM-4,MAKATI-BANGKAL,01008-073-5,01008-073-5,SMMR,MAKATI-BANGKAL,18
1856,1503,BSP,SMM-3,MANILA-BSP,01008-040-5,01008-040-5,SMMR,MANILA-BSP,17
1858,1505,DTC,SMM-7,PASAY-DOMESTIC AIRPORT RD.,01008-214-4,01008-214-4,SMMR,PASAY-DOMESTIC AIRPORT RD.,21
1860,1507,EDX,SMM-5,PASAY-EDSA EXTENSION,01008-174-7,01008-174-7,SMMR,PASAY-EDSA EXTENSION,19
1862,1510,PAS,SMM-5,PASAY-BACLARAN,01008-021-4,01008-021-4,SMMR,PASAY-BACLARAN,19
1863,1511,PED,SMM-5,PASAY-EDSA,01008-182-8,01008-182-8,SMMR,PASAY-EDSA,19
1864,1512,LIB,SMM-5,PASAY-LIBERTAD,01008-163-7,01008-163-7,SMMR,PASAY-LIBERTAD,19
1866,1514,RXB,SMM-5,PASAY-ROXAS BLVD.,01008-037-9,01008-037-9,SMMR,PASAY-ROXAS BLVD.,19
1868,1516,LQB,SMM-3,Q.C.-BSP,01008-282-7,01008-282-7,SMMR,Q.C.-BSP,17
1871,1601,BND,SMM-1,BINONDO-SAN FERNANDO,01008-043-4,01008-043-4,SMMR,BINONDO-SAN FERNANDO,15
1874,1604,DMK,SMM-6,MAKATI-LEGASPI SOTTO,01008-164-0,01008-164-0,SMMR,MAKATI-LEGASPI SOTTO,20
1879,1609,JLN,SMM-1,DIVISORIA-JUAN LUNA,01008-157-2,01008-157-2,SMMR,DIVISORIA-JUAN LUNA,15
1880,1610,OPN,CMM-4,MANILA-ONGPIN to 1613,01008-159-8,01008-159-8,CMMR,MANILA-ONGPIN to 1613,12
1881,1611,PDC,SMM-1,BINONDO-PLAZA DEL CONDE,01008-226-7,01008-226-7,SMMR,BINONDO-PLAZA DEL CONDE,15
1884,1614,BLT,SMM-1,MANILA-BENAVIDEZ-LA TORRE,01008-278-8,01008-278-8,SMMR,MANILA-BENAVIDEZ-LA TORRE,15
1885,1626,AUB,SMM-1,DIVISORIA-168 MALL,01008-181-5,01008-181-5,SMMR,DIVISORIA-168 MALL,15
1890,1631,NBA,SMM-2,MANILA-NORTH BAY,01008-206-3,01008-206-3,SMMR,MANILA-NORTH BAY,16
1891,1632,PAD,SMM-1,MANILA-PADRE RADA,01008-146-2,01008-146-2,SMMR,MANILA-PADRE RADA,15
1893,1634,RER,SMM-1,BINONDO-REINA REGENTE,01008-180-2,01008-180-2,SMMR,BINONDO-REINA REGENTE,15
1894,1635,RZL,SMM-2,MANILA-RIZAL AVE.-HERRERA,01008-027-2,01008-027-2,SMMR,MANILA-RIZAL AVE.-HERRERA,16
1896,1637,ABS,SMM-2,MANILA-JOSE ABAD SANTOS,01008-028-5,01008-028-5,SMMR,MANILA-JOSE ABAD SANTOS,16
1900,1653,RCT,CMM-5,MANILA-C.M. RECTO to 1660,01008-024-3,01008-024-3,CMMR,MANILA-C.M. RECTO to 1660,13
1901,1654,ERW,SMM-2,MANILA-EARNSHAW,01008-211-5,01008-211-5,SMMR,MANILA-EARNSHAW,16
1902,1655,JPL,SMM-3,MANILA-J.P. LAUREL,01008-232-2,01008-232-2,SMMR,MANILA-J.P. LAUREL,17
1903,1656,MSK,SMM-1,BINONDO-MASANGKAY,01008-178-9,01008-178-9,SMMR,BINONDO-MASANGKAY,15
1905,1658,PST,CMM-4,MANILA-FLORENTINO TORRES to 1651,01008-077-7,01008-077-7,CMMR,MANILA-FLORENTINO TORRES to 1651,12
1907,1660,UER,SMM-2,MANILA-U.E. RECTO,01008-215-7,01008-215-7,SMMR,MANILA-U.E. RECTO,16
1948,2031,CPC,NOL 8,TARLAC-CONCEPCION,22008-003-3,22008-003-3,NOL,TARLAC-CONCEPCION,30
1949,2032,DAU,NOL 5,PAMPANGA-MABALACAT-DAU,06008-005-7,06008-005-7,NOL,PAMPANGA-MABALACAT-DAU,27
1835,1464,URT,SMM-8,MUNTINLUPA-EAST SERVICE ROAD,01008-268-1,01008-268-1,SMMR,MUNTINLUPA-EAST SERVICE ROAD,22
1836,1465,ZPT,SMM-8,LAS PIÑAS-ZAPOTE,01008-158-5,01008-158-5,SMMR,LAS PIÑAS-ZAPOTE,22
1837,1476,BRL,SMM-7,PARAÑAQUE-BETTER LIVING,01008-203-4,01008-203-4,SMMR,PARAÑAQUE-BETTER LIVING,21
1839,1478,BFA,SMM-7,PARAÑAQUE-BF HOMES-AGUIRRE AVENUE,01008-076-4,01008-076-4,SMMR,PARAÑAQUE-BF HOMES-AGUIRRE AVENUE,21
1841,1480,BCT,SMM-5,PARANAQUE-BICUTAN DONA SOLEDAD to 1476,01008-099-7,01008-099-7,SMMR,PARANAQUE-BICUTAN DONA SOLEDAD to 1476,19
1842,1481,QUI,SMM-5,PARANAQUE-BICUTAN-WEST SERVICE ROAD to 1480,01008-187-3,01008-187-3,SMMR,PARANAQUE-BICUTAN-WEST SERVICE ROAD to 1480,19
1844,1483,MIA,SMM-7,NAIA 1-DEPARTURE AREA,01008-148-8,01008-148-8,SMMR,NAIA 1-DEPARTURE AREA,21
1846,1485,NAI,SMM-7,NAIA 2-DEPARTURE AREA,01008-229-6,01008-229-6,SMMR,NAIA 2-DEPARTURE AREA,21
1847,1486,NYP,SMM-7,NAIA 3-ARRIVAL AREA,01008-072-2,01008-072-2,SMMR,NAIA 3-ARRIVAL AREA,21
1848,1487,NYA,SMM-7,PARAÑAQUE-OYSTER PLAZA,01008-151-4,01008-151-4,SMMR,PARAÑAQUE-OYSTER PLAZA,21
1850,1489,PPP,VISAYAS 1,PALAWAN-PUERTO PRINCESA-SAN PEDRO,35008-002-6,35008-002-6,VISAYAS,PALAWAN-PUERTO PRINCESA-SAN PEDRO,38
1854,1493,PQA,SMM-7,PARAÑAQUE-ASEANA CITY,01008-279-1,01008-279-1,SMMR,PARAÑAQUE-ASEANA CITY,21
1857,1504,CRT,SMM-5,PASAY-CARTIMAR,01008-061-2,01008-061-2,SMMR,PASAY-CARTIMAR,19
1859,1506,EDB,SMM-5,MAKATI-BUENDIA-EDISON,01008-100-6,01008-100-6,SMMR,MAKATI-BUENDIA-EDISON,19
1861,1508,GSS,SMM-5,PASAY-GSIS,01008-023-0,01008-023-0,SMMR,PASAY-GSIS,19
1865,1513,PSY,SMM-5,PASAY-TAFT,01008-131-0,01008-131-0,SMMR,PASAY-TAFT,19
1867,1515,VAB,SMM-5,PASAY-VILLAMOR AIR BASE,01008-018-8,01008-018-8,SMMR,PASAY-VILLAMOR AIR BASE,19
1869,1518,PCW,SMM-5,PASAY-CORAL WAY,01008-284-3,01008-284-3,SMMR,PASAY-CORAL WAY,19
1870,1519,PDD,SMM-5,PASAY MACAPAGAL-DD MERIDIAN,01008-285-6,01008-285-6,SMMR,PASAY MACAPAGAL-DD MERIDIAN,19
1872,1602,MCC,SMM-1,BINONDO-QUINTIN PAREDES,01008-144-6,01008-144-6,SMMR,BINONDO-QUINTIN PAREDES,15
1873,1603,DVI,SMM-1,DIVISORIA-STO. CRISTO-C.M. RECTO,01008-066-7,01008-066-7,SMMR,DIVISORIA-STO. CRISTO-C.M. RECTO,15
1875,1605,DIV,SMM-1,DIVISORIA-STO. CRISTO,01008-124-2,01008-124-2,SMMR,DIVISORIA-STO. CRISTO,15
1876,1606,ECA,SMM-1,DIVISORIA-ELCANO,01008-228-3,01008-228-3,SMMR,DIVISORIA-ELCANO,15
1877,1607,ESC,SMM-2,MANILA-ESCOLTA,01008-001-0,01008-001-0,SMMR,MANILA-ESCOLTA,16
1878,1608,JLA,SMM-1,BINONDO-NUEVA,01008-091-3,01008-091-3,SMMR,BINONDO-NUEVA,15
1882,1612,SNI,SMM-1,BINONDO-SAN NICOLAS,01008-172-1,01008-172-1,SMMR,BINONDO-SAN NICOLAS,15
1883,1613,TAO,SMM-1,MANILA-T. ALONZO,01008-208-9,01008-208-9,SMMR,MANILA-T. ALONZO,15
1886,1627,BMK,SMM-2,MANILA-BAMBANG-MASANGKAY,01008-243-2,01008-243-2,SMMR,MANILA-BAMBANG-MASANGKAY,16
1887,1628,BLU,SMM-2,MANILA-BLUMENTRITT-L. RIVERA,01008-039-5,01008-039-5,SMMR,MANILA-BLUMENTRITT-L. RIVERA,16
1888,1629,BLM,SMM-2,Manila-Rizal Ave.-Laguna,01008-234-8,01008-234-8,SMMR,Manila-Rizal Ave.-Laguna,16
1889,1630,JAS,SMM-2,Manila-J. Abad Santos-Bambang,01008-225-4,01008-225-4,SMMR,Manila-J. Abad Santos-Bambang,16
1892,1633,PTL,SMM-1,MANILA-PRITIL-CAPULONG,01008-111-6,01008-111-6,SMMR,MANILA-PRITIL-CAPULONG,15
1895,1636,TDO,SMM-1,MANILA-TONDO-JUAN LUNA,01008-136-5,01008-136-5,SMMR,MANILA-TONDO-JUAN LUNA,15
1897,1638,TTB,SMM-1,MANILA-TUTUBAN MALL,01008-244-5,01008-244-5,SMMR,MANILA-TUTUBAN MALL,15
1898,1651,ARQ,SMM-2,MANILA-ARRANQUE,01008-121-3,01008-121-3,SMMR,MANILA-ARRANQUE,16
1899,1652,PLC,SMM-2,MANILA-QUIAPO-C. PALANCA,01008-231-9,01008-231-9,SMMR,MANILA-QUIAPO-C. PALANCA,16
1904,1657,MRT,SMM-2,MANILA-MORAYTA,01008-176-3,01008-176-3,SMMR,MANILA-MORAYTA,16
1906,1659,QPO,SMM-2,MANILA-FUGOSO ST.,01008-133-6,01008-133-6,SMMR,MANILA-FUGOSO ST.,16
1950,2033,DLR,NOL 5,SAN FERNANDO CITY-DOLORES,06008-011-2,06008-011-2,NOL,SAN FERNANDO CITY-DOLORES,27
2054,2431,CEP,SOL 2,CAVITE-ROSARIO-CEPZ,41008-003-4,41008-003-4,SOL,CAVITE-ROSARIO-CEPZ,32
2055,2432,DMS,SOL 2,DASMARIÑAS-SALITRAN,41008-015-7,41008-015-7,SOL,DASMARIÑAS-SALITRAN,32
2056,2433,IMS,SOL 2,CAVITE-IMUS BAYAN,41008-005-0,41008-005-0,SOL,CAVITE-IMUS BAYAN,32
2059,2436,MLN,SOL 2,BACOOR CITY-MOLINO,41008-012-8,41008-012-8,SOL,BACOOR CITY-MOLINO,32
2060,2437,NAC,SOL 2,CAVITE-NAIC,41008-017-3,41008-017-3,SOL,CAVITE-NAIC,32
2061,2438,SLG,SOL 2,CAVITE-SILANG,41008-002-1,41008-002-1,SOL,CAVITE-SILANG,32
2062,2439,TGY,SOL 2,TAGAYTAY-MENDEZ,41008-006-3,41008-006-3,SOL,TAGAYTAY-MENDEZ,32
2063,2440,TGT,SOL 2,TAGAYTAY-AGUINALDO,41008-008-9,41008-008-9,SOL,TAGAYTAY-AGUINALDO,32
2065,2451,BNN,SOL 3,LAGUNA-BIÑAN,31008-005-3,31008-005-3,SOL,LAGUNA-BIÑAN,33
2066,2452,BIN,SOL 3,CAVITE-CARMONA,41008-018-6,41008-018-6,SOL,CAVITE-CARMONA,33
2068,2454,CLB,SOL 3,LAGUNA-CALAMBA-POBLACION,31008-003-7,31008-003-7,SOL,LAGUNA-CALAMBA-POBLACION,33
2069,2455,CMB,SOL 3,LAGUNA-CALAMBA-PARIAN,31008-017-6,31008-017-6,SOL,LAGUNA-CALAMBA-PARIAN,33
2071,2457,CLX,SOL 3,LAGUNA-CALAMBA CROSSING,31008-018-9,31008-018-9,SOL,LAGUNA-CALAMBA CROSSING,33
2072,2458,PCT,SOL 2,LAGUNA-SOUTHWOODS,31008-016-3,31008-016-3,SOL,LAGUNA-SOUTHWOODS,32
2074,2460,SPD,SOL 3,LAGUNA-SAN PEDRO,31008-006-6,31008-006-6,SOL,LAGUNA-SAN PEDRO,33
2075,2461,SPL,SOL 3,LAGUNA-SAN PEDRO-NAT'L. HI-WAY,31008-012-1,31008-012-1,SOL,LAGUNA-SAN PEDRO-NAT'L. HI-WAY,33
2078,2464,UPL,SOL 3,LAGUNA-UPLB,31008-007-9,31008-007-9,SOL,LAGUNA-UPLB,33
2079,2465,LCK,SOL 2,CAVITE-KAWIT-CENTENNIAL ROAD,41008-022-5,41008-022-5,SOL,CAVITE-KAWIT-CENTENNIAL ROAD,32
2080,2466,LCS,SOL 2,CAVITE-SILANG-LUCSUHIN (BL 2438),41008-023-8,41008-023-8,SOL,CAVITE-SILANG-LUCSUHIN (BL 2438),32
2082,2477,BOA,SOL 4,MARINDUQUE-BOAC,01008-985-9,01008-985-9,SOL,MARINDUQUE-BOAC,34
2084,2479,GMC,SOL 4,QUEZON-GUMACA,14008-005-8,14008-005-8,SOL,QUEZON-GUMACA,34
2085,2480,LOP,SOL 4,QUEZON-LOPEZ,14008-003-2,14008-003-2,SOL,QUEZON-LOPEZ,34
2086,2481,LCA,SOL 4,LUCENA CITY-QUEZON AVE.,14008-001-6,14008-001-6,SOL,LUCENA CITY-QUEZON AVE.,34
2087,2482,LUQ,SOL 4,LUCENA CITY-ENRIQUEZ,14008-004-5,14008-004-5,SOL,LUCENA CITY-ENRIQUEZ,34
2091,2486,SNL,SOL 4,LAGUNA-SINILOAN,31008-002-4,31008-002-4,SOL,LAGUNA-SINILOAN,34
2096,2502,DCN,SOL 5,CAMARINES NORTE-DAET-PIMENTEL AVE.,36008-003-2,36008-003-2,SOL,CAMARINES NORTE-DAET-PIMENTEL AVE.,35
2099,2505,LGO,SOL 5,ALBAY-LIGAO,16008-003-8,16008-003-8,SOL,ALBAY-LIGAO,35
2105,2526,AYC,SOL 6,LEGAZPI CITY-ALBAY CAPITOL,16008-007-0,16008-007-0,SOL,LEGAZPI CITY-ALBAY CAPITOL,36
2106,2527,BNS,SOL 6,SORSOGON-BULAN,16008-010-6,16008-010-6,SOL,SORSOGON-BULAN,36
2107,2528,DRG,SOL 6,ALBAY-DARAGA,16008-009-6,16008-009-6,SOL,ALBAY-DARAGA,36
2108,2529,LGS,SOL 6,LEGAZPI CITY-DON B. ERQUIAGA,16008-001-2,16008-001-2,SOL,LEGAZPI CITY-DON B. ERQUIAGA,36
2109,2530,LGP,SOL 6,LEGAZPI CITY-IMPERIAL,16008-008-3,16008-008-3,SOL,LEGAZPI CITY-IMPERIAL,36
2111,2532,SSN,SOL 6,SORSOGON CITY-RIZAL,16008-005-4,16008-005-4,SOL,SORSOGON CITY-RIZAL,36
2116,3002,BLA,VISAYAS 2,CEBU-BANILAD-FORTUNA,02008-024-6,02008-024-6,VISAYAS,CEBU-BANILAD-FORTUNA,39
2117,3003,CBU,VISAYAS 1,CEBU-M.C. BRIONES,02008-001-3,02008-001-3,VISAYAS,CEBU-M.C. BRIONES,38
2120,3006,FOS,VISAYAS 1,CEBU-ESCARIO,02008-018-1,02008-018-1,VISAYAS,CEBU-ESCARIO,38
2121,3007,GOR,VISAYAS 1,CEBU BUSINESS PARK,02008-029-1,02008-029-1,VISAYAS,CEBU BUSINESS PARK,38
2122,3008,JKM,VISAYAS 1,CEBU-JAKOSALEM,02008-032-7,02008-032-7,VISAYAS,CEBU-JAKOSALEM,38
2124,3010,OPC,VISAYAS 1,CEBU-BANAWA,02008-015-2,02008-015-2,VISAYAS,CEBU-BANAWA,38
2125,3011,CIP,VISAYAS 1,CEBU I.T. PARK,02008-013-6,02008-013-6,VISAYAS,CEBU I.T. PARK,38
1951,2034,EGC,NOL 5,SAN FERNANDO CITY-EAST GATE,06008-006-0,06008-006-0,NOL,SAN FERNANDO CITY-EAST GATE,27
2127,3026,ACS,VISAYAS 2,CEBU-MANDAUE-A. CORTES,02008-025-9,02008-025-9,VISAYAS,CEBU-MANDAUE-A. CORTES,39
2129,3028,BOG,VISAYAS 2,CEBU-BOGO,02008-014-9,02008-014-9,VISAYAS,CEBU-BOGO,39
2130,3029,CNM,VISAYAS 2,CEBU-MANDAUE CENTRO,02008-012-3,02008-012-3,VISAYAS,CEBU-MANDAUE CENTRO,39
2131,3030,CSN,VISAYAS 2,CEBU-CONSOLACION,02008-030-1,02008-030-1,VISAYAS,CEBU-CONSOLACION,39
2134,3033,LAP,VISAYAS 2,CEBU-LAPU-LAPU MARKET,02008-020-4,02008-020-4,VISAYAS,CEBU-LAPU-LAPU MARKET,39
2135,3035,MDU,VISAYAS 2,CEBU-MANDAUE-LOPEZ JAENA,02008-004-2,02008-004-2,VISAYAS,CEBU-MANDAUE-LOPEZ JAENA,39
2136,3036,MSD,VISAYAS 2,CEBU-MANDAUE-SUBANGDAKU,02008-021-7,02008-021-7,VISAYAS,CEBU-MANDAUE-SUBANGDAKU,39
2137,3037,MEP,VISAYAS 2,CEBU-MEPZ,02008-007-1,02008-007-1,VISAYAS,CEBU-MEPZ,39
2140,3040,TLB,VISAYAS 1,CEBU-TALAMBAN,02008-027-5,02008-027-5,VISAYAS,CEBU-TALAMBAN,38
2144,3052,CRC,VISAYAS 3,CEBU-CARCAR,02008-028-8,02008-028-8,VISAYAS,CEBU-CARCAR,40
2146,3054,MMB,VISAYAS 3,CEBU-MAMBALING,02008-023-3,02008-023-3,VISAYAS,CEBU-MAMBALING,40
2147,3055,MIN,VISAYAS 3,CEBU-MINGLANILLA,02008-031-4,02008-031-4,VISAYAS,CEBU-MINGLANILLA,40
2149,3057,TAB,VISAYAS 3,CEBU-TABUNOK-TALISAY,02008-019-4,02008-019-4,VISAYAS,CEBU-TABUNOK-TALISAY,40
2150,3058,TAG,VISAYAS 3,TAGBILARAN-C.P. GARCIA AVE.,33008-001-7,33008-001-7,VISAYAS,TAGBILARAN-C.P. GARCIA AVE.,40
2152,3060,TLD,VISAYAS 3,CEBU-TOLEDO,02008-008-4,02008-008-4,VISAYAS,CEBU-TOLEDO,40
2153,3061,TBG,VISAYAS 3,BOHOL-TUBIGON,33008-002-0,33008-002-0,VISAYAS,BOHOL-TUBIGON,40
2155,3063,LBP,VISAYAS 3,BOHOL-PANGLAO,33008-006-2,33008-006-2,VISAYAS,BOHOL-PANGLAO,40
2156,3064,LBT,VISAYAS 3,BOHOL-TALIBON,33008-007-5,33008-007-5,VISAYAS,BOHOL-TALIBON,40
2158,3077,BCD,VISAYAS 4,BACOLOD-LACSON,04008-001-9,04008-001-9,VISAYAS,BACOLOD-LACSON,41
2161,3080,BLB,VISAYAS 4,BACOLOD-LIBERTAD,04008-010-3,04008-010-3,VISAYAS,BACOLOD-LIBERTAD,41
2162,3081,LCN,VISAYAS 4,BACOLOD-NEGROS CYBER CENTRE,04008-011-6,04008-011-6,VISAYAS,BACOLOD-NEGROS CYBER CENTRE,41
2164,3083,BWN,VISAYAS 5,NEGROS OR.-BAYAWAN,20008-006-6,20008-006-6,VISAYAS,NEGROS OR.-BAYAWAN,42
2165,3084,BBG,VISAYAS 5,NEGROS OCC.-BINALBAGAN,04008-008-0,04008-008-0,VISAYAS,NEGROS OCC.-BINALBAGAN,42
2166,3085,CDZ,VISAYAS 4,NEGROS OCC.-CADIZ CITY,04008-007-7,04008-007-7,VISAYAS,NEGROS OCC.-CADIZ CITY,41
2167,3086,DGT,VISAYAS 5,DUMAGUETE CITY-SILLIMAN AVE.,20008-001-1,20008-001-1,VISAYAS,DUMAGUETE CITY-SILLIMAN AVE.,42
2168,3087,BYW,VISAYAS 5,DUMAGUETE CITY-SOUTH ROAD,20008-005-3,20008-005-3,VISAYAS,DUMAGUETE CITY-SOUTH ROAD,42
2169,3088,DUM,VISAYAS 5,DUMAGUETE CITY-LOCSIN,20008-003-7,20008-003-7,VISAYAS,DUMAGUETE CITY-LOCSIN,42
2171,3090,KKL,VISAYAS 5,NEGROS OCC.-KABANKALAN CITY,70008-001-6,70008-001-6,VISAYAS,NEGROS OCC.-KABANKALAN CITY,42
2173,3092,LZG,VISAYAS 4,BACOLOD-LUZURIAGA,04008-003-5,04008-003-5,VISAYAS,BACOLOD-LUZURIAGA,41
2174,3093,SNC,VISAYAS 5,NEGROS OCC.-SAN CARLOS CITY,71008-001-9,71008-001-9,VISAYAS,NEGROS OCC.-SAN CARLOS CITY,42
2175,3094,SLY,VISAYAS 4,NEGROS OCC.-SILAY CITY,04008-004-8,04008-004-8,VISAYAS,NEGROS OCC.-SILAY CITY,41
2176,3095,LSQ,VISAYAS 5,SIQUIJOR-LARENA,20008-007-9,20008-007-9,VISAYAS,SIQUIJOR-LARENA,42
2178,3097,VTR,VISAYAS 4,NEGROS OCC.-VICTORIAS CITY,04008-006-4,04008-006-4,VISAYAS,NEGROS OCC.-VICTORIAS CITY,41
2179,3101,ATQ,VISAYAS 6,ANTIQUE-T.A. FORNIER,69008-001-6,69008-001-6,VISAYAS,ANTIQUE-T.A. FORNIER,43
2182,3104,ILO,VISAYAS 6,ILOILO-IZNART,08008-001-1,08008-001-1,VISAYAS,ILOILO-IZNART,43
2183,3105,ALD,VISAYAS 6,ILOILO-ALDEGUER,08008-008-2,08008-008-2,VISAYAS,ILOILO-ALDEGUER,43
2188,3110,KAL,VISAYAS 7,AKLAN-KALIBO-MARTELINO,29008-002-1,29008-002-1,VISAYAS,AKLAN-KALIBO-MARTELINO,44
2190,3112,LED,VISAYAS 6,ILOILO-LEDESMA,08008-009-5,08008-009-5,VISAYAS,ILOILO-LEDESMA,43
2191,3113,MGA,VISAYAS 6,ILOILO-MIAG-AO,08008-006-6,08008-006-6,VISAYAS,ILOILO-MIAG-AO,43
2195,3117,RXS,VISAYAS 7,CAPIZ ROXAS-C.M. RECTO,34008-001-0,34008-001-0,VISAYAS,CAPIZ ROXAS-C.M. RECTO,44
2197,3119,SJA,VISAYAS 6,ANTIQUE-SAN JOSE,69008-002-9,69008-002-9,VISAYAS,ANTIQUE-SAN JOSE,43
2198,3120,SBI,VISAYAS 6,ILOILO-STA. BARBARA,08008-013-4,08008-013-4,VISAYAS,ILOILO-STA. BARBARA,43
2199,3126,BYB,VISAYAS 8,SOUTHERN LEYTE-SOGOD,65008-001-4,65008-001-4,VISAYAS,SOUTHERN LEYTE-SOGOD,45
2200,3127,BYL,VISAYAS 8,LEYTE-BAYBAY CITY,65008-002-7,65008-002-7,VISAYAS,LEYTE-BAYBAY CITY,45
2201,3128,BRG,VISAYAS 8,EASTERN SAMAR-BORONGAN CITY,77008-001-7,77008-001-7,VISAYAS,EASTERN SAMAR-BORONGAN CITY,45
2202,3129,CBG,VISAYAS 8,SAMAR-CALBAYOG CITY,68008-001-3,68008-001-3,VISAYAS,SAMAR-CALBAYOG CITY,45
2203,3130,CTR,VISAYAS 8,NORTHERN SAMAR-CATARMAN,66008-001-7,66008-001-7,VISAYAS,NORTHERN SAMAR-CATARMAN,45
2206,3133,DWT,VISAYAS 8,TACLOBAN CITY-RIZAL AVE.,11008-002-0,11008-002-0,VISAYAS,TACLOBAN CITY-RIZAL AVE.,45
2207,3134,GUI,VISAYAS 8,EASTERN SAMAR-GUIUAN,01008-988-8,01008-988-8,VISAYAS,EASTERN SAMAR-GUIUAN,45
2209,3136,NVL,VISAYAS 8,BILIRAN-NAVAL,01008-991-4,01008-991-4,VISAYAS,BILIRAN-NAVAL,45
2211,3138,ORC,VISAYAS 8,LEYTE-ORMOC COGON,39008-002-8,39008-002-8,VISAYAS,LEYTE-ORMOC COGON,45
2214,3141,TCL,VISAYAS 8,TACLOBAN CITY-ZAMORA,11008-003-3,11008-003-3,VISAYAS,TACLOBAN CITY-ZAMORA,45
2216,3143,LBY,VISAYAS 8,LEYTE-BAYBAY CITY-VSU,65008-003-0,65008-003-0,VISAYAS,LEYTE-BAYBAY CITY-VSU,45
2217,4001,BJD,MINDANAO 1,DAVAO-OBRERO,03008-002-9,03008-002-9,MINDANAO,DAVAO-OBRERO,46
2219,4003,BKR,MINDANAO 2,DAVAO-ATENEO,03008-003-2,03008-003-2,MINDANAO,DAVAO-ATENEO,47
2221,4005,DVO,MINDANAO 1,DAVAO-SAN PEDRO-C.M. RECTO,03008-001-6,03008-001-6,MINDANAO,DAVAO-SAN PEDRO-C.M. RECTO,46
2222,4006,DTA,MINDANAO 2,DAVAO DEL NORTE-TAGUM-APOKON,03008-020-7,03008-020-7,MINDANAO,DAVAO DEL NORTE-TAGUM-APOKON,47
2223,4007,LNG,MINDANAO 2,DAVAO-LANANG,03008-018-4,03008-018-4,MINDANAO,DAVAO-LANANG,47
2224,4008,DSP,MINDANAO 1,DAVAO-SAN PEDRO,03008-013-9,03008-013-9,MINDANAO,DAVAO-SAN PEDRO,46
2226,4010,MTI,MINDANAO 2,DAVAO ORIENTAL-MATI,56008-001-0,56008-001-0,MINDANAO,DAVAO ORIENTAL-MATI,47
2228,4012,SSA,MINDANAO 2,DAVAO-SASA,03008-004-5,03008-004-5,MINDANAO,DAVAO-SASA,47
2229,4013,TGU,MINDANAO 2,DAVAO DEL NORTE-TAGUM-RIZAL,03008-012-6,03008-012-6,MINDANAO,DAVAO DEL NORTE-TAGUM-RIZAL,47
2230,4014,DPN,MINDANAO 2,DAVAO-PANACAN to 4012,03008-024-9,03008-024-9,MINDANAO,DAVAO-PANACAN to 4012,47
2231,4015,DGA,MINDANAO 1,DAVAO-GAISANO CABANTIAN,03008-026-5,03008-026-5,MINDANAO,DAVAO-GAISANO CABANTIAN,46
2235,4026,ASR,MINDANAO 4,AGUSAN DEL SUR-SAN FRANCISCO,57008-001-3,57008-001-3,MINDANAO,AGUSAN DEL SUR-SAN FRANCISCO,49
2236,4027,BYU,MINDANAO 4,AGUSAN DEL SUR-BAYUGAN CITY,30008-003-4,30008-003-4,MINDANAO,AGUSAN DEL SUR-BAYUGAN CITY,49
2237,4028,BTA,MINDANAO 4,BUTUAN CITY-MONTILLA,30008-001-8,30008-001-8,MINDANAO,BUTUAN CITY-MONTILLA,49
